Path,Pitch,PercentSilence,FrequencyMagnitude
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_12.wav,"[36.73198, 0.0, 36.332485, 0.0, 34.82586, 0.0, 34.23508]","[83.5873015873016, 91.1655328798186, 100.0, 92.1360544217687, 80.31292517006803, 100.0, 89.84686013830392]","[(14544, 200.3958818044593), (22707, 57.30104725038972), (44592, 16.155914739378357), (67238, 5.137365925179262), (109758, 16.15591473937836), (131643, 57.30104725038973), (139806, 200.3958818044593)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_3.wav,"[9.113912, 41.12719, 0.0, 41.88644, 0.0, 41.094883, 2.1468928]","[23.50566893424036, 77.47845804988663, 95.98185941043084, 100.0, 76.25850340136054, 96.47165532879819, 92.65812487288997]","[(5762, 236.52087246712784), (22705, 69.57682815156166), (45471, 23.189405788852028), (69615, 5.620683143389755), (108879, 23.18940578885203), (131645, 69.57682815156166), (148588, 236.5208724671278)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_4.wav,"[36.000652, 0.0, 36.0024, 0.0, 36.153683, 0.0, 35.360107]","[78.76190476190476, 94.8344671201814, 100.0, 83.71428571428571, 89.89569160997732, 100.0, 90.92493838964121]","[(5274, 287.559314100959), (23005, 96.30017954369539), (47520, 23.982067916836687), (66348, 7.647144348391361), (106830, 23.982067916836694), (131345, 96.30017954369539), (149076, 287.55931410095894)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_5.wav,"[36.333965, 0.0, 37.399868, 0.0, 35.955982, 0.0, 35.484516]","[90.41269841269842, 83.74603174603175, 100.0, 89.77324263038548, 80.76643990929705, 100.0, 90.47326646171092]","[(5277, 231.81900745991678), (23022, 75.71275959198617), (55263, 19.841617958608435), (88006, 6.8954831587111), (99087, 19.84161795860843), (131328, 75.71275959198616), (149073, 231.81900745991675)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_6.wav,"[37.033318, 0.0, 35.902565, 0.0, 37.01035, 0.0, 35.353714]","[73.2562358276644, 0.8616780045351504, 100.0, 69.2108843537415, 96.34920634920636, 100.0, 89.3403776570755]","[(14543, 253.47192296050713), (22705, 85.03011397934313), (45471, 24.962318534691775), (87623, 6.558662626110877), (108879, 24.962318534691782), (131645, 85.03011397934313), (139807, 253.47192296050716)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_7.wav,"[36.33379, 0.0, 36.237015, 0.0, 35.25134, 0.0, 35.34307]","[74.4172335600907, 94.87981859410431, 100.0, 78.53514739229024, 96.5079365079365, 100.0, 90.42711020630198]","[(14510, 243.66721745104596), (23005, 85.94860148636334), (44158, 19.481968931735583), (87698, 5.871025416901359), (110192, 19.481968931735583), (131345, 85.94860148636333), (139840, 243.66721745104596)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_8.wav,"[16.58724, 18.670776, 25.058912, 10.529263, 25.122063, 46.589153, 0.0]","[100.0, 70.4625850340136, 1.0385487528344726, 100.0, 69.94104308390023, 98.0498866213152, 89.07333075078094]","[(5762, 199.02639100136733), (22705, 58.906444659294216), (55267, 18.720786767157044), (88002, 6.07725178370487), (99083, 18.720786767157037), (131645, 58.90644465929421), (148588, 199.02639100136733)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dee/goat_9.wav,"[35.61588, 0.0, 36.350716, 0.0, 34.313778, 0.0, 34.046375]","[80.06349206349206, 92.18140589569161, 100.0, 86.7936507936508, 86.30385487528345, 100.0, 89.57651635662302]","[(5760, 199.2526464082283), (23005, 57.27369248428764), (45473, 15.907525499419837), (87934, 5.742836735093655), (108877, 15.907525499419837), (131345, 57.273692484287636), (148590, 199.2526464082283)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_01.wav,"[100.80506, 97.62652, 95.257095, 95.25964, 81.74918, 90.47951, 100.71332]","[59.59183673469388, 53.3469387755102, 54.14512471655329, 56.85260770975057, 57.55102040816327, 57.151927437641724, 59.873337260860126]","[(299, 56.01787792523024), (42078, 535.2029917953723), (44348, 10.341267844060729), (71489, 2.6673149771989544), (110002, 10.34126784406071), (112272, 535.2029917953722), (154051, 56.017877925230245)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_02.wav,"[95.92441, 100.808525, 101.600494, 58.73884, 83.335655, 104.00082, 84.13111]","[60.19501133786848, 58.8843537414966, 56.848072562358276, 56.952380952380956, 56.843537414965986, 72.91156462585033, 60.32913708102075]","[(313, 62.8962074617871), (42093, 554.1120046928386), (44116, 9.492293620880355), (82709, 3.063893498738317), (110234, 9.492293620880364), (112257, 554.1120046928385), (154037, 62.8962074617871)]"
C:/Users/84338/OneDrive/Desktop/HTTM/CSDLDPT/data/dees/cricket_03.wav,"[96.69977, 86.51607, 89.68571, 97.62953, 101.603, 102.39648, 102.315094]","[56.57142857142857, 57.274376417233555, 63.07936507936508, 63.92743764172336, 63.759637188208615, 55.78684807256236, 59.440404948683764]","[(312, 46.348735373725255), (42031, 470.63203079440024), (44257, 11.002588096552959), (70360, 2.8598854350420457), (110093, 11.002588096552971), (112319, 470.6320307944003), (154038, 46.348735373725255)]"
